Well	Cq (-R'(T))	Tm Product 1 (-R'(T))	
A1  	19.08      	82                   	
A2  	26.93      	80                   	
A3  	26.99      	80                   	
A4  	20.34      	77.5                 	
A5  	18.93      	81.5                 	
A6  	20.16      	81.5                 	
A7  	22.83      	77.5                 	
A8  	20.18      	78                   	
A9  	29.74      	82.5                 	
A10 	26.65      	80.5                 	
A11 	27.94      	79.5                 	
A12 	21.51      	78.5                 	
B1  	18.97      	82                   	
B2  	25.83      	80                   	
B3  	26.79      	79.5                 	
B4  	20.51      	77                   	
B5  	18.85      	81.5                 	
B6  	20.02      	81.5                 	
B7  	22.67      	77.5                 	
B8  	19.97      	78                   	
B9  	30.09      	82.5                 	
B10 	26.13      	80.5                 	
B11 	27.66      	79.5                 	
B12 	21.2       	78.5                 	
C1  	18.76      	82                   	
C2  	25.37      	80                   	
C3  	25.44      	80                   	
C4  	19.57      	77.5                 	
C5  	18.49      	81.5                 	
C6  	19.6       	81                   	
C7  	21.93      	77.5                 	
C8  	19.86      	78.5                 	
C9  	27.9       	82.5                 	
C10 	25.57      	80.5                 	
C11 	26.76      	79.5                 	
C12 	20.88      	78.5                 	
D1  	18.75      	82                   	
D2  	25.75      	80                   	
D3  	24.8       	80                   	
D4  	19.69      	77.5                 	
D5  	18.69      	81.5                 	
D6  	19.51      	81                   	
D7  	22.31      	77.5                 	
D8  	19.8       	78.5                 	
D9  	32.46      	82.5                 	
D10 	25.67      	81                   	
D11 	27.16      	79                   	
D12 	20.86      	78.5                 	
E1  	18.31      	82                   	
E2  	24.46      	80                   	
E3  	23.95      	80                   	
E4  	19.45      	77.5                 	
E5  	18.7       	81.5                 	
E6  	18.79      	81                   	
E7  	21.78      	77.5                 	
E8  	19.6       	78.5                 	
E9  	27.52      	82.5                 	
E10 	24.58      	81                   	
E11 	26.79      	79.5                 	
E12 	20.19      	78.5                 	
F1  	18.84      	82                   	
F2  	24.91      	80                   	
F3  	24.53      	80                   	
F4  	19.68      	77.5                 	
F5  	18.74      	81.5                 	
F6  	18.91      	81                   	
F7  	21.95      	78                   	
F8  	19.93      	78.5                 	
F9  	28.72      	82.5                 	
F10 	25.04      	81                   	
F11 	27.73      	79.5                 	
F12 	20.71      	78.5                 	
G1  	19.04      	82                   	
G2  	26.69      	80                   	
G3  	26.89      	80                   	
G4  	20.69      	77                   	
G5  	18.93      	81.5                 	
G6  	20.55      	81                   	
G7  	22.61      	77.5                 	
G8  	20.25      	78                   	
G9  	30.59      	82.5                 	
G10 	25.86      	80.5                 	
G11 	27.84      	79.5                 	
G12 	21.83      	78.5                 	
H1  	No Cq      	57                   	
H2  	32.75      	77.5                 	
H3  	No Cq      	65                   	
H4  	No Cq      	77                   	
H5  	No Cq      	55                   	
H6  	No Cq      	58                   	
H7  	No Cq      	78                   	
H8  	37.78      	83.5                 	
H9  	39.28      	55                   	
H10 	No Cq      	72                   	
H11 	No Cq      	57.5                 	
H12 	No Cq      	55                   	
