Well	Cq (∆R)	Tm Product 1 (-R'(T))	
A1  	18.96  	82                   	
A2  	27.34  	80                   	
A3  	27.88  	80                   	
A4  	20.78  	77.5                 	
A5  	18.8   	81.5                 	
A6  	20.49  	81.5                 	
A7  	22.5   	77.5                 	
A8  	20.02  	78.5                 	
A9  	30.61  	82.5                 	
A10 	26.67  	81                   	
A11 	24.96  	79.5                 	
A12 	21.81  	78.5                 	
B1  	22.74  	82                   	
B2  	30.45  	80                   	
B3  	29.68  	80                   	
B4  	23.81  	77.5                 	
B5  	22.58  	81.5                 	
B6  	24.4   	81.5                 	
B7  	25.91  	77.5                 	
B8  	23.48  	78.5                 	
B9  	34.19  	80.5                 	
B10 	32.32  	79.5                 	
B11 	28.78  	79.5                 	
B12 	24.25  	78.5                 	
C1  	18.46  	82                   	
C2  	25.85  	80                   	
C3  	26.56  	80                   	
C4  	20.32  	77.5                 	
C5  	18.53  	81.5                 	
C6  	19.83  	81                   	
C7  	22.35  	77.5                 	
C8  	19.67  	78.5                 	
C9  	28.76  	82.5                 	
C10 	25.93  	81                   	
C11 	24.8   	79.5                 	
C12 	20.83  	78.5                 	
D1  	18.83  	82                   	
D2  	28.83  	80                   	
D3  	25.61  	80                   	
D4  	20.62  	77.5                 	
D5  	18.86  	81.5                 	
D6  	20.56  	81.5                 	
D7  	22.56  	77.5                 	
D8  	20.41  	78.5                 	
D9  	30.33  	82.5                 	
D10 	26.04  	81                   	
D11 	24.96  	79.5                 	
D12 	21.73  	78.5                 	
E1  	18.98  	82                   	
E2  	26.86  	80                   	
E3  	27.26  	80                   	
E4  	20.71  	77.5                 	
E5  	18.93  	81.5                 	
E6  	20.56  	81.5                 	
E7  	22.69  	78                   	
E8  	20.54  	78.5                 	
E9  	29.12  	82.5                 	
E10 	26.6   	81                   	
E11 	25.15  	79.5                 	
E12 	21.74  	78.5                 	
F1  	19.08  	82                   	
F2  	27.06  	80                   	
F3  	27.39  	80                   	
F4  	20.84  	77.5                 	
F5  	19.09  	81.5                 	
F6  	20.74  	81.5                 	
F7  	22.88  	78                   	
F8  	20.64  	78.5                 	
F9  	30.54  	82.5                 	
F10 	26.73  	81                   	
F11 	25.79  	79.5                 	
F12 	21.85  	78.5                 	
G1  	19     	82                   	
G2  	27.82  	80                   	
G3  	28.86  	80                   	
G4  	20.78  	77                   	
G5  	18.92  	81.5                 	
G6  	20.67  	81.5                 	
G7  	22.74  	77.5                 	
G8  	20.11  	78.5                 	
G9  	31.84  	82.5                 	
G10 	26.84  	81                   	
G11 	25.04  	79.5                 	
G12 	21.66  	79                   	
H1  	No Cq  	57                   	
H2  	No Cq  	65.5                 	
H3  	No Cq  	61.5                 	
H4  	No Cq  	77                   	
H5  	No Cq  	55                   	
H6  	No Cq  	57.5                 	
H7  	No Cq  	55                   	
H8  	38.17  	77.5                 	
H9  	39.3   	57.5                 	
H10 	No Cq  	70                   	
H11 	No Cq  	57.5                 	
H12 	No Cq  	55                   	
