"sample.name"	"date"	"age"	"sex"	"days.since.feed"	"box.uses"
"T2"	"07/09/18"	38	"female"	2	0
"T3"	"07/09/18"	38	"male"	2	0
"T4"	"10/09/18"	6	"female"	3	0
"T5"	"10/09/18"	20	"female"	3	0
"T6"	"10/09/18"	20	"male"	3	0
"T8"	"12/09/18"	8	"male"	2	1
"T9"	"12/09/18"	15	"female"	2	0
"T10"	"12/09/18"	29	"female"	2	1
"T12"	"13/09/18"	2	"male"	1	0
"T13"	"13/09/18"	2	"female"	1	0
"T14"	"13/09/18"	44	"male"	1	0
"T15"	"13/09/18"	51	"female"	1	0
"T16"	"14/09/18"	24	"female"	2	1
"T17"	"17/09/18"	6	"female"	3	0
"T19"	"17/09/18"	20	"female"	3	1
"T20"	"17/09/18"	62	"male"	3	0
"T21"	"18/09/18"	14	"male"	1	1
"T22"	"18/09/18"	56	"male"	1	1
"T23"	"18/09/18"	56	"female"	1	1
"T24"	"18/09/18"	11	"female"	1	0
"T25"	"19/09/18"	8	"male"	2	1
"T28"	"19/09/18"	50	"male"	2	1
"T30"	"20/09/18"	51	"female"	1	1
"T31"	"21/09/18"	38	"female"	2	2
"T34"	"22/09/18"	32	"male"	1	1
"T36"	"23/09/18"	33	"female"	2	2
"T37"	"23/09/18"	26	"male"	2	2
"T39"	"25/09/18"	42	"female"	1	3
"T42"	"25/09/18"	2	"male"	1	0
"T43"	"25/09/18"	2	"female"	1	0
"T44"	"26/09/18"	32	"male"	2	0
"T48"	"28/09/18"	11	"female"	2	0
"T50"	"02/10/18"	42	"female"	1	2
"T51"	"04/10/18"	44	"male"	1	3
"T52"	"05/10/18"	24	"female"	2	2
"T54"	"05/11/18"	20	"male"	3	0
"T106"	"26/09/18"	57	"female"	2	0
"T120"	"01/10/18"	62	"female"	3	1
"T137"	"04/10/18"	62	"female"	1	1
"T140"	"04/10/18"	62	"male"	1	1
"T153"	"12/10/18"	55	"male"	2	0
"T179"	"23/10/18"	29	"female"	1	2
"T185"	"24/10/18"	15	"female"	2	0
"T191"	"25/10/18"	48	"female"	1	1
"T197"	"26/10/18"	48	"female"	2	0
"T199"	"26/10/18"	34	"female"	2	0
"T243"	"13/11/18"	51	"male"	1	1
"T281"	"03/12/18"	13	"male"	3	1
"T292"	"06/12/18"	37	"male"	1	2
"T309"	"12/12/18"	27	"male"	2	1
