	GMOY000749	GMOY001603	GMOY002920	GMOY003090	GMOY003371	GMOY003588	GMOY003952	GMOY005053	GMOY005321	GMOY009908	GMOY010976	GMOY011979	GMOY000749n	GMOY001603n	GMOY002920n	GMOY003090n	GMOY003371n	GMOY003588n	GMOY005053n	GMOY005321n	GMOY009908n	GMOY011979n
T1	19.52	27.81	24.92	20.21	19.22	20.885	23.745	21.485	28.78	26.65	25.87	21.98	4.9925	-3.2975	-0.112499999999999	4.5975	5.5875	3.9225	3.3225	-3.9725	-1.8425	2.8275
T2	19.1	27.39	26.895	20.605	18.99	20.795	23.575	21.03	28.82	27.33	25.23	21.98	5.0725	-3.2175	-2.4925	3.7975	5.4125	3.6075	3.3725	-4.4175	-2.9275	2.4225
T3	18.86	26.58	26.515	19.955	18.64	19.905	22.865	20.21	29.455	25.865	24.82	20.965	4.795	-2.925	-2.6725	3.8875	5.2025	3.9375	3.6325	-5.6125	-2.0225	2.8775
T4	19.75	26.025	18.92	19.72	19.475	19.855	23.655	21.42	21.665	23.525	25.35	21.31	4.48	-1.795	5.5825	4.7825	5.0275	4.6475	3.0825	2.8375	0.977500000000001	3.1925
T5	19.05	26.705	21.71	19.505	18.9	20.005	22.81	20.675	26.655	25.175	24.945	21.01	4.6975	-2.9575	2.1675	4.3725	4.9775	3.8725	3.2025	-2.7775	-1.2975	2.8675
T6	18.97	25.77	26.075	19.79	18.755	19.725	22.77	20.74	29.25	25.62	24.875	21.27	4.5925	-2.2075	-2.2525	4.0325	5.0675	4.0975	3.0825	-5.4275	-1.7975	2.5525
T7	18.735	27.28	28.26	19.965	18.05	20.06	22.635	20.11	30.105	26.195	24.695	21.05	4.7075	-3.8375	-4.595	3.7	5.615	3.605	3.555	-6.44	-2.53	2.615
T14	18.805	26.77	24.82	19.775	18.58	20.47	22.625	19.9	28.795	25.675	24.785	20.625	4.7925	-3.1725	-1.115	3.93	5.125	3.235	3.805	-5.09	-1.97	3.08
T15	18.8	27.25	23.355	19.88	18.645	20.585	22.82	20.445	27.97	25.695	25.1	20.98	4.9125	-3.5375	0.605	4.08	5.315	3.375	3.515	-4.01	-1.735	2.98
T16	19.93	27.645	24.45	20.545	19.82	21.36	23.75	21.36	26.955	26.575	25.935	21.815	4.7025	-3.0125	0.3925	4.2975	5.0225	3.4825	3.4825	-2.1125	-1.7325	3.0275
T17	19.865	25.745	19.58	19.61	19.705	20.005	23.665	21.62	21.885	23.605	25.67	21.35	4.535	-1.345	5.0875	5.0575	4.9625	4.6625	3.0475	2.7825	1.0625	3.3175
T19	18.93	25.845	24.655	19.61	18.67	20	22.735	20.495	28.555	26.26	24.89	20.875	4.7175	-2.1975	-0.842500000000001	4.2025	5.1425	3.8125	3.3175	-4.7425	-2.4475	2.9375
